email_text,labels
Reminder: Your subscription expires soon. Renew to continue enjoying our services.,0
You have received a new invoice. Please find the attached document.,0
The project deadline has been moved up. Let's discuss the next steps.,0
Your package has been shipped and will arrive soon. Track it here.,0
Earn $500 daily from home with this simple trick! Sign up now.,1
Meeting rescheduled to 3 PM. Let me know if that works for you.,0
Hurry! This exclusive deal expires soon. Don't miss out.,1
Hurry! This exclusive deal expires soon. Don't miss out.,1
Let's catch up this weekend! It's been a while.,0
Looking forward to our trip next month. Have you booked the tickets?,0
You are selected for a special reward. Claim your prize here.,1
Work from home and make thousands of dollars per week! Join now.,1
Limited-time offer! Get 50% off on all purchases. Act fast!,1
You are selected for a special reward. Claim your prize here.,1
Hurry! This exclusive deal expires soon. Don't miss out.,1
Hurry! This exclusive deal expires soon. Don't miss out.,1
"Hey John, are we still on for the meeting tomorrow? Let me know.",0
Hurry! This exclusive deal expires soon. Don't miss out.,1
You are selected for a special reward. Claim your prize here.,1
Get rich quick! Sign up for our exclusive program today.,1
Reminder: Your subscription expires soon. Renew to continue enjoying our services.,0
Your package has been shipped and will arrive soon. Track it here.,0
Earn $500 daily from home with this simple trick! Sign up now.,1
Limited-time offer! Get 50% off on all purchases. Act fast!,1
The project deadline has been moved up. Let's discuss the next steps.,0
Your loan has been pre-approved. Apply now to receive instant cash.,1
Get rich quick! Sign up for our exclusive program today.,1
Meeting rescheduled to 3 PM. Let me know if that works for you.,0
You have received a new invoice. Please find the attached document.,0
Earn $500 daily from home with this simple trick! Sign up now.,1
Click here to download the latest casino app and win big.,1
Let's catch up this weekend! It's been a while.,0
Limited-time offer! Get 50% off on all purchases. Act fast!,1
You have received a new invoice. Please find the attached document.,0
"Hey John, are we still on for the meeting tomorrow? Let me know.",0
Your package has been shipped and will arrive soon. Track it here.,0
Congratulations! You've won a free iPhone. Click here to claim now.,1
Limited-time offer! Get 50% off on all purchases. Act fast!,1
Let's catch up this weekend! It's been a while.,0
Earn $500 daily from home with this simple trick! Sign up now.,1
Earn $500 daily from home with this simple trick! Sign up now.,1
Looking forward to our trip next month. Have you booked the tickets?,0
Meeting rescheduled to 3 PM. Let me know if that works for you.,0
URGENT: Your PayPal account has been suspended. Verify your identity now.,1
The project deadline has been moved up. Let's discuss the next steps.,0
Meeting rescheduled to 3 PM. Let me know if that works for you.,0
Get rich quick! Sign up for our exclusive program today.,1
"Hi Mom, just checking in. Hope you're doing well!",0
Hurry! This exclusive deal expires soon. Don't miss out.,1
URGENT: Your PayPal account has been suspended. Verify your identity now.,1
Congratulations! You've won a free iPhone. Click here to claim now.,1
"Hi Mom, just checking in. Hope you're doing well!",0
Click here to download the latest casino app and win big.,1
Your package has been shipped and will arrive soon. Track it here.,0
"Hi Mom, just checking in. Hope you're doing well!",0
Work from home and make thousands of dollars per week! Join now.,1
Let's catch up this weekend! It's been a while.,0
Limited-time offer! Get 50% off on all purchases. Act fast!,1
URGENT: Your PayPal account has been suspended. Verify your identity now.,1
Looking forward to our trip next month. Have you booked the tickets?,0
You have received a new invoice. Please find the attached document.,0
Meeting rescheduled to 3 PM. Let me know if that works for you.,0
You are selected for a special reward. Claim your prize here.,1
Let's catch up this weekend! It's been a while.,0
Click here to download the latest casino app and win big.,1
Your loan has been pre-approved. Apply now to receive instant cash.,1
Let's catch up this weekend! It's been a while.,0
Get rich quick! Sign up for our exclusive program today.,1
Work from home and make thousands of dollars per week! Join now.,1
URGENT: Your PayPal account has been suspended. Verify your identity now.,1
Your loan has been pre-approved. Apply now to receive instant cash.,1
"Hi Mom, just checking in. Hope you're doing well!",0
Can you review the attached document and provide feedback?,0
You are selected for a special reward. Claim your prize here.,1
Click here to download the latest casino app and win big.,1
You are selected for a special reward. Claim your prize here.,1
Limited-time offer! Get 50% off on all purchases. Act fast!,1
The project deadline has been moved up. Let's discuss the next steps.,0
Looking forward to our trip next month. Have you booked the tickets?,0
Limited-time offer! Get 50% off on all purchases. Act fast!,1
Congratulations! You've won a free iPhone. Click here to claim now.,1
Let's catch up this weekend! It's been a while.,0
Let's catch up this weekend! It's been a while.,0
Earn $500 daily from home with this simple trick! Sign up now.,1
You are selected for a special reward. Claim your prize here.,1
Limited-time offer! Get 50% off on all purchases. Act fast!,1
Your package has been shipped and will arrive soon. Track it here.,0
Limited-time offer! Get 50% off on all purchases. Act fast!,1
"Hi Mom, just checking in. Hope you're doing well!",0
"Hi Mom, just checking in. Hope you're doing well!",0
Get rich quick! Sign up for our exclusive program today.,1
Reminder: Your subscription expires soon. Renew to continue enjoying our services.,0
Earn $500 daily from home with this simple trick! Sign up now.,1
Let's catch up this weekend! It's been a while.,0
Your package has been shipped and will arrive soon. Track it here.,0
Click here to download the latest casino app and win big.,1
Earn $500 daily from home with this simple trick! Sign up now.,1
Congratulations! You've won a free iPhone. Click here to claim now.,1
Meeting rescheduled to 3 PM. Let me know if that works for you.,0
Work from home and make thousands of dollars per week! Join now.,1
"Hey John, are we still on for the meeting tomorrow? Let me know.",0
Meeting rescheduled to 3 PM. Let me know if that works for you.,0
URGENT: Your PayPal account has been suspended. Verify your identity now.,1
Can you review the attached document and provide feedback?,0
Let's catch up this weekend! It's been a while.,0
Click here to download the latest casino app and win big.,1
Limited-time offer! Get 50% off on all purchases. Act fast!,1
Your package has been shipped and will arrive soon. Track it here.,0
Earn $500 daily from home with this simple trick! Sign up now.,1
Meeting rescheduled to 3 PM. Let me know if that works for you.,0
URGENT: Your PayPal account has been suspended. Verify your identity now.,1
Reminder: Your subscription expires soon. Renew to continue enjoying our services.,0
You have received a new invoice. Please find the attached document.,0
Earn $500 daily from home with this simple trick! Sign up now.,1
Earn $500 daily from home with this simple trick! Sign up now.,1
Your loan has been pre-approved. Apply now to receive instant cash.,1
Looking forward to our trip next month. Have you booked the tickets?,0
URGENT: Your PayPal account has been suspended. Verify your identity now.,1
You are selected for a special reward. Claim your prize here.,1
"Hi Mom, just checking in. Hope you're doing well!",0
URGENT: Your PayPal account has been suspended. Verify your identity now.,1
Congratulations! You've won a free iPhone. Click here to claim now.,1
Hurry! This exclusive deal expires soon. Don't miss out.,1
"Hey John, are we still on for the meeting tomorrow? Let me know.",0
Limited-time offer! Get 50% off on all purchases. Act fast!,1
Let's catch up this weekend! It's been a while.,0
Meeting rescheduled to 3 PM. Let me know if that works for you.,0
Looking forward to our trip next month. Have you booked the tickets?,0
"Hi Mom, just checking in. Hope you're doing well!",0
Work from home and make thousands of dollars per week! Join now.,1
Meeting rescheduled to 3 PM. Let me know if that works for you.,0
Your package has been shipped and will arrive soon. Track it here.,0
Congratulations! You've won a free iPhone. Click here to claim now.,1
Get rich quick! Sign up for our exclusive program today.,1
Your package has been shipped and will arrive soon. Track it here.,0
Work from home and make thousands of dollars per week! Join now.,1
Your loan has been pre-approved. Apply now to receive instant cash.,1
Limited-time offer! Get 50% off on all purchases. Act fast!,1
Earn $500 daily from home with this simple trick! Sign up now.,1
Congratulations! You've won a free iPhone. Click here to claim now.,1
Reminder: Your subscription expires soon. Renew to continue enjoying our services.,0
Looking forward to our trip next month. Have you booked the tickets?,0
Looking forward to our trip next month. Have you booked the tickets?,0
Meeting rescheduled to 3 PM. Let me know if that works for you.,0
The project deadline has been moved up. Let's discuss the next steps.,0
Limited-time offer! Get 50% off on all purchases. Act fast!,1
Meeting rescheduled to 3 PM. Let me know if that works for you.,0
"Hi Mom, just checking in. Hope you're doing well!",0
"Hey John, are we still on for the meeting tomorrow? Let me know.",0
"Hi Mom, just checking in. Hope you're doing well!",0
"Hey John, are we still on for the meeting tomorrow? Let me know.",0
Work from home and make thousands of dollars per week! Join now.,1
"Hey John, are we still on for the meeting tomorrow? Let me know.",0
Reminder: Your subscription expires soon. Renew to continue enjoying our services.,0
Congratulations! You've won a free iPhone. Click here to claim now.,1
URGENT: Your PayPal account has been suspended. Verify your identity now.,1
The project deadline has been moved up. Let's discuss the next steps.,0
URGENT: Your PayPal account has been suspended. Verify your identity now.,1
Can you review the attached document and provide feedback?,0
Let's catch up this weekend! It's been a while.,0
Work from home and make thousands of dollars per week! Join now.,1
Get rich quick! Sign up for our exclusive program today.,1
Reminder: Your subscription expires soon. Renew to continue enjoying our services.,0
Get rich quick! Sign up for our exclusive program today.,1
Work from home and make thousands of dollars per week! Join now.,1
The project deadline has been moved up. Let's discuss the next steps.,0
Hurry! This exclusive deal expires soon. Don't miss out.,1
Click here to download the latest casino app and win big.,1
You are selected for a special reward. Claim your prize here.,1
URGENT: Your PayPal account has been suspended. Verify your identity now.,1
Get rich quick! Sign up for our exclusive program today.,1
Hurry! This exclusive deal expires soon. Don't miss out.,1
"Hi Mom, just checking in. Hope you're doing well!",0
Your loan has been pre-approved. Apply now to receive instant cash.,1
Meeting rescheduled to 3 PM. Let me know if that works for you.,0
Can you review the attached document and provide feedback?,0
"Hey John, are we still on for the meeting tomorrow? Let me know.",0
Work from home and make thousands of dollars per week! Join now.,1
Work from home and make thousands of dollars per week! Join now.,1
Get rich quick! Sign up for our exclusive program today.,1
Limited-time offer! Get 50% off on all purchases. Act fast!,1
Your package has been shipped and will arrive soon. Track it here.,0
Hurry! This exclusive deal expires soon. Don't miss out.,1
Reminder: Your subscription expires soon. Renew to continue enjoying our services.,0
URGENT: Your PayPal account has been suspended. Verify your identity now.,1
You have received a new invoice. Please find the attached document.,0
Reminder: Your subscription expires soon. Renew to continue enjoying our services.,0
Reminder: Your subscription expires soon. Renew to continue enjoying our services.,0
You have received a new invoice. Please find the attached document.,0
Reminder: Your subscription expires soon. Renew to continue enjoying our services.,0
You are selected for a special reward. Claim your prize here.,1
Your loan has been pre-approved. Apply now to receive instant cash.,1
Looking forward to our trip next month. Have you booked the tickets?,0
Click here to download the latest casino app and win big.,1
Click here to download the latest casino app and win big.,1
URGENT: Your PayPal account has been suspended. Verify your identity now.,1
"Hi Mom, just checking in. Hope you're doing well!",0
Looking forward to our trip next month. Have you booked the tickets?,0
Your package has been shipped and will arrive soon. Track it here.,0
"Hey John, are we still on for the meeting tomorrow? Let me know.",0
You are selected for a special reward. Claim your prize here.,1
Congratulations! You've won a free iPhone. Click here to claim now.,1
"Hey John, are we still on for the meeting tomorrow? Let me know.",0
Let's catch up this weekend! It's been a while.,0
Earn $500 daily from home with this simple trick! Sign up now.,1
Earn $500 daily from home with this simple trick! Sign up now.,1
The project deadline has been moved up. Let's discuss the next steps.,0
Can you review the attached document and provide feedback?,0
You are selected for a special reward. Claim your prize here.,1
Can you review the attached document and provide feedback?,0
Your loan has been pre-approved. Apply now to receive instant cash.,1
Work from home and make thousands of dollars per week! Join now.,1
Looking forward to our trip next month. Have you booked the tickets?,0
Can you review the attached document and provide feedback?,0
Let's catch up this weekend! It's been a while.,0
Looking forward to our trip next month. Have you booked the tickets?,0
Hurry! This exclusive deal expires soon. Don't miss out.,1
Get rich quick! Sign up for our exclusive program today.,1
Can you review the attached document and provide feedback?,0
Meeting rescheduled to 3 PM. Let me know if that works for you.,0
Limited-time offer! Get 50% off on all purchases. Act fast!,1
Looking forward to our trip next month. Have you booked the tickets?,0
Your package has been shipped and will arrive soon. Track it here.,0
"Hi Mom, just checking in. Hope you're doing well!",0
The project deadline has been moved up. Let's discuss the next steps.,0
You have received a new invoice. Please find the attached document.,0
Looking forward to our trip next month. Have you booked the tickets?,0
Reminder: Your subscription expires soon. Renew to continue enjoying our services.,0
Meeting rescheduled to 3 PM. Let me know if that works for you.,0
"Hey John, are we still on for the meeting tomorrow? Let me know.",0
Your loan has been pre-approved. Apply now to receive instant cash.,1
URGENT: Your PayPal account has been suspended. Verify your identity now.,1
"Hey John, are we still on for the meeting tomorrow? Let me know.",0
Looking forward to our trip next month. Have you booked the tickets?,0
Looking forward to our trip next month. Have you booked the tickets?,0
Can you review the attached document and provide feedback?,0
Limited-time offer! Get 50% off on all purchases. Act fast!,1
Your package has been shipped and will arrive soon. Track it here.,0
The project deadline has been moved up. Let's discuss the next steps.,0
Meeting rescheduled to 3 PM. Let me know if that works for you.,0
Work from home and make thousands of dollars per week! Join now.,1
Can you review the attached document and provide feedback?,0
URGENT: Your PayPal account has been suspended. Verify your identity now.,1
Meeting rescheduled to 3 PM. Let me know if that works for you.,0
Click here to download the latest casino app and win big.,1
You have received a new invoice. Please find the attached document.,0
"Hey John, are we still on for the meeting tomorrow? Let me know.",0
"Hey John, are we still on for the meeting tomorrow? Let me know.",0
Let's catch up this weekend! It's been a while.,0
Looking forward to our trip next month. Have you booked the tickets?,0
"Hi Mom, just checking in. Hope you're doing well!",0
Limited-time offer! Get 50% off on all purchases. Act fast!,1
Your loan has been pre-approved. Apply now to receive instant cash.,1
Your package has been shipped and will arrive soon. Track it here.,0
Can you review the attached document and provide feedback?,0
Looking forward to our trip next month. Have you booked the tickets?,0
Limited-time offer! Get 50% off on all purchases. Act fast!,1
Click here to download the latest casino app and win big.,1
Let's catch up this weekend! It's been a while.,0
Your package has been shipped and will arrive soon. Track it here.,0
Work from home and make thousands of dollars per week! Join now.,1
Congratulations! You've won a free iPhone. Click here to claim now.,1
Looking forward to our trip next month. Have you booked the tickets?,0
Limited-time offer! Get 50% off on all purchases. Act fast!,1
Let's catch up this weekend! It's been a while.,0
Earn $500 daily from home with this simple trick! Sign up now.,1
Click here to download the latest casino app and win big.,1
Limited-time offer! Get 50% off on all purchases. Act fast!,1
Your package has been shipped and will arrive soon. Track it here.,0
Meeting rescheduled to 3 PM. Let me know if that works for you.,0
Reminder: Your subscription expires soon. Renew to continue enjoying our services.,0
Limited-time offer! Get 50% off on all purchases. Act fast!,1
URGENT: Your PayPal account has been suspended. Verify your identity now.,1
Looking forward to our trip next month. Have you booked the tickets?,0
You have received a new invoice. Please find the attached document.,0
Earn $500 daily from home with this simple trick! Sign up now.,1
You have received a new invoice. Please find the attached document.,0
You have received a new invoice. Please find the attached document.,0
Hurry! This exclusive deal expires soon. Don't miss out.,1
Work from home and make thousands of dollars per week! Join now.,1
Limited-time offer! Get 50% off on all purchases. Act fast!,1
Hurry! This exclusive deal expires soon. Don't miss out.,1
Get rich quick! Sign up for our exclusive program today.,1
Looking forward to our trip next month. Have you booked the tickets?,0
Limited-time offer! Get 50% off on all purchases. Act fast!,1
You have received a new invoice. Please find the attached document.,0
Limited-time offer! Get 50% off on all purchases. Act fast!,1
Get rich quick! Sign up for our exclusive program today.,1
Reminder: Your subscription expires soon. Renew to continue enjoying our services.,0
"Hi Mom, just checking in. Hope you're doing well!",0
Limited-time offer! Get 50% off on all purchases. Act fast!,1
Get rich quick! Sign up for our exclusive program today.,1
Congratulations! You've won a free iPhone. Click here to claim now.,1
Your package has been shipped and will arrive soon. Track it here.,0
Congratulations! You've won a free iPhone. Click here to claim now.,1
Limited-time offer! Get 50% off on all purchases. Act fast!,1
You are selected for a special reward. Claim your prize here.,1
Reminder: Your subscription expires soon. Renew to continue enjoying our services.,0
Work from home and make thousands of dollars per week! Join now.,1
The project deadline has been moved up. Let's discuss the next steps.,0
You are selected for a special reward. Claim your prize here.,1
You are selected for a special reward. Claim your prize here.,1
Click here to download the latest casino app and win big.,1
"Hi Mom, just checking in. Hope you're doing well!",0
"Hi Mom, just checking in. Hope you're doing well!",0
"Hi Mom, just checking in. Hope you're doing well!",0
Work from home and make thousands of dollars per week! Join now.,1
Looking forward to our trip next month. Have you booked the tickets?,0
Earn $500 daily from home with this simple trick! Sign up now.,1
Earn $500 daily from home with this simple trick! Sign up now.,1
Limited-time offer! Get 50% off on all purchases. Act fast!,1
Congratulations! You've won a free iPhone. Click here to claim now.,1
Earn $500 daily from home with this simple trick! Sign up now.,1
You are selected for a special reward. Claim your prize here.,1
Can you review the attached document and provide feedback?,0
Hurry! This exclusive deal expires soon. Don't miss out.,1
Your loan has been pre-approved. Apply now to receive instant cash.,1
"Hey John, are we still on for the meeting tomorrow? Let me know.",0
Limited-time offer! Get 50% off on all purchases. Act fast!,1
Meeting rescheduled to 3 PM. Let me know if that works for you.,0
Work from home and make thousands of dollars per week! Join now.,1
You have received a new invoice. Please find the attached document.,0
Reminder: Your subscription expires soon. Renew to continue enjoying our services.,0
You have received a new invoice. Please find the attached document.,0
Get rich quick! Sign up for our exclusive program today.,1
Get rich quick! Sign up for our exclusive program today.,1
Click here to download the latest casino app and win big.,1
Meeting rescheduled to 3 PM. Let me know if that works for you.,0
Limited-time offer! Get 50% off on all purchases. Act fast!,1
Your package has been shipped and will arrive soon. Track it here.,0
Earn $500 daily from home with this simple trick! Sign up now.,1
Earn $500 daily from home with this simple trick! Sign up now.,1
Earn $500 daily from home with this simple trick! Sign up now.,1
Your loan has been pre-approved. Apply now to receive instant cash.,1
Let's catch up this weekend! It's been a while.,0
You are selected for a special reward. Claim your prize here.,1
Your package has been shipped and will arrive soon. Track it here.,0
Meeting rescheduled to 3 PM. Let me know if that works for you.,0
Reminder: Your subscription expires soon. Renew to continue enjoying our services.,0
Congratulations! You've won a free iPhone. Click here to claim now.,1
Limited-time offer! Get 50% off on all purchases. Act fast!,1
Let's catch up this weekend! It's been a while.,0
The project deadline has been moved up. Let's discuss the next steps.,0
Get rich quick! Sign up for our exclusive program today.,1
URGENT: Your PayPal account has been suspended. Verify your identity now.,1
Earn $500 daily from home with this simple trick! Sign up now.,1
Work from home and make thousands of dollars per week! Join now.,1
Let's catch up this weekend! It's been a while.,0
"Hey John, are we still on for the meeting tomorrow? Let me know.",0
Click here to download the latest casino app and win big.,1
"Hey John, are we still on for the meeting tomorrow? Let me know.",0
Earn $500 daily from home with this simple trick! Sign up now.,1
Looking forward to our trip next month. Have you booked the tickets?,0
Your loan has been pre-approved. Apply now to receive instant cash.,1
Reminder: Your subscription expires soon. Renew to continue enjoying our services.,0
You have received a new invoice. Please find the attached document.,0
Congratulations! You've won a free iPhone. Click here to claim now.,1
The project deadline has been moved up. Let's discuss the next steps.,0
The project deadline has been moved up. Let's discuss the next steps.,0
The project deadline has been moved up. Let's discuss the next steps.,0
"Hey John, are we still on for the meeting tomorrow? Let me know.",0
Hurry! This exclusive deal expires soon. Don't miss out.,1
Can you review the attached document and provide feedback?,0
Work from home and make thousands of dollars per week! Join now.,1
Work from home and make thousands of dollars per week! Join now.,1
Earn $500 daily from home with this simple trick! Sign up now.,1
Earn $500 daily from home with this simple trick! Sign up now.,1
Hurry! This exclusive deal expires soon. Don't miss out.,1
Reminder: Your subscription expires soon. Renew to continue enjoying our services.,0
Your loan has been pre-approved. Apply now to receive instant cash.,1
Reminder: Your subscription expires soon. Renew to continue enjoying our services.,0
Your package has been shipped and will arrive soon. Track it here.,0
Congratulations! You've won a free iPhone. Click here to claim now.,1
Hurry! This exclusive deal expires soon. Don't miss out.,1
Your loan has been pre-approved. Apply now to receive instant cash.,1
You are selected for a special reward. Claim your prize here.,1
"Hey John, are we still on for the meeting tomorrow? Let me know.",0
Click here to download the latest casino app and win big.,1
Meeting rescheduled to 3 PM. Let me know if that works for you.,0
Work from home and make thousands of dollars per week! Join now.,1
Earn $500 daily from home with this simple trick! Sign up now.,1
The project deadline has been moved up. Let's discuss the next steps.,0
URGENT: Your PayPal account has been suspended. Verify your identity now.,1
Earn $500 daily from home with this simple trick! Sign up now.,1
Let's catch up this weekend! It's been a while.,0
Your loan has been pre-approved. Apply now to receive instant cash.,1
You have received a new invoice. Please find the attached document.,0
Meeting rescheduled to 3 PM. Let me know if that works for you.,0
Your loan has been pre-approved. Apply now to receive instant cash.,1
Click here to download the latest casino app and win big.,1
You are selected for a special reward. Claim your prize here.,1
Hurry! This exclusive deal expires soon. Don't miss out.,1
Your package has been shipped and will arrive soon. Track it here.,0
Earn $500 daily from home with this simple trick! Sign up now.,1
"Hey John, are we still on for the meeting tomorrow? Let me know.",0
You are selected for a special reward. Claim your prize here.,1
Your package has been shipped and will arrive soon. Track it here.,0
Hurry! This exclusive deal expires soon. Don't miss out.,1
Let's catch up this weekend! It's been a while.,0
Get rich quick! Sign up for our exclusive program today.,1
Your loan has been pre-approved. Apply now to receive instant cash.,1
Work from home and make thousands of dollars per week! Join now.,1
Your loan has been pre-approved. Apply now to receive instant cash.,1
"Hey John, are we still on for the meeting tomorrow? Let me know.",0
Limited-time offer! Get 50% off on all purchases. Act fast!,1
Can you review the attached document and provide feedback?,0
Looking forward to our trip next month. Have you booked the tickets?,0
The project deadline has been moved up. Let's discuss the next steps.,0
URGENT: Your PayPal account has been suspended. Verify your identity now.,1
Meeting rescheduled to 3 PM. Let me know if that works for you.,0
You are selected for a special reward. Claim your prize here.,1
Looking forward to our trip next month. Have you booked the tickets?,0
Get rich quick! Sign up for our exclusive program today.,1
Congratulations! You've won a free iPhone. Click here to claim now.,1
The project deadline has been moved up. Let's discuss the next steps.,0
Meeting rescheduled to 3 PM. Let me know if that works for you.,0
Earn $500 daily from home with this simple trick! Sign up now.,1
Congratulations! You've won a free iPhone. Click here to claim now.,1
"Hey John, are we still on for the meeting tomorrow? Let me know.",0
Click here to download the latest casino app and win big.,1
You have received a new invoice. Please find the attached document.,0
The project deadline has been moved up. Let's discuss the next steps.,0
You have received a new invoice. Please find the attached document.,0
Let's catch up this weekend! It's been a while.,0
Your loan has been pre-approved. Apply now to receive instant cash.,1
Looking forward to our trip next month. Have you booked the tickets?,0
Congratulations! You've won a free iPhone. Click here to claim now.,1
Looking forward to our trip next month. Have you booked the tickets?,0
"Hi Mom, just checking in. Hope you're doing well!",0
"Hi Mom, just checking in. Hope you're doing well!",0
Meeting rescheduled to 3 PM. Let me know if that works for you.,0
Reminder: Your subscription expires soon. Renew to continue enjoying our services.,0
Let's catch up this weekend! It's been a while.,0
Get rich quick! Sign up for our exclusive program today.,1
Reminder: Your subscription expires soon. Renew to continue enjoying our services.,0
Your loan has been pre-approved. Apply now to receive instant cash.,1
The project deadline has been moved up. Let's discuss the next steps.,0
Work from home and make thousands of dollars per week! Join now.,1
Meeting rescheduled to 3 PM. Let me know if that works for you.,0
Hurry! This exclusive deal expires soon. Don't miss out.,1
Work from home and make thousands of dollars per week! Join now.,1
Let's catch up this weekend! It's been a while.,0
You have received a new invoice. Please find the attached document.,0
"Hi Mom, just checking in. Hope you're doing well!",0
Earn $500 daily from home with this simple trick! Sign up now.,1
Click here to download the latest casino app and win big.,1
Earn $500 daily from home with this simple trick! Sign up now.,1
Looking forward to our trip next month. Have you booked the tickets?,0
Earn $500 daily from home with this simple trick! Sign up now.,1
You have received a new invoice. Please find the attached document.,0
Let's catch up this weekend! It's been a while.,0
Let's catch up this weekend! It's been a while.,0
You are selected for a special reward. Claim your prize here.,1
Let's catch up this weekend! It's been a while.,0
Let's catch up this weekend! It's been a while.,0
"Hi Mom, just checking in. Hope you're doing well!",0
Click here to download the latest casino app and win big.,1
Congratulations! You've won a free iPhone. Click here to claim now.,1
You have received a new invoice. Please find the attached document.,0
Earn $500 daily from home with this simple trick! Sign up now.,1
The project deadline has been moved up. Let's discuss the next steps.,0
"Hey John, are we still on for the meeting tomorrow? Let me know.",0
URGENT: Your PayPal account has been suspended. Verify your identity now.,1
You have received a new invoice. Please find the attached document.,0
Your package has been shipped and will arrive soon. Track it here.,0
You have received a new invoice. Please find the attached document.,0
Work from home and make thousands of dollars per week! Join now.,1
Limited-time offer! Get 50% off on all purchases. Act fast!,1
Your loan has been pre-approved. Apply now to receive instant cash.,1
You have received a new invoice. Please find the attached document.,0
"Hey John, are we still on for the meeting tomorrow? Let me know.",0
You have received a new invoice. Please find the attached document.,0
Click here to download the latest casino app and win big.,1
Work from home and make thousands of dollars per week! Join now.,1
Earn $500 daily from home with this simple trick! Sign up now.,1
Congratulations! You've won a free iPhone. Click here to claim now.,1
Earn $500 daily from home with this simple trick! Sign up now.,1
Work from home and make thousands of dollars per week! Join now.,1
Reminder: Your subscription expires soon. Renew to continue enjoying our services.,0
Limited-time offer! Get 50% off on all purchases. Act fast!,1
Limited-time offer! Get 50% off on all purchases. Act fast!,1
Let's catch up this weekend! It's been a while.,0
Limited-time offer! Get 50% off on all purchases. Act fast!,1
Meeting rescheduled to 3 PM. Let me know if that works for you.,0
The project deadline has been moved up. Let's discuss the next steps.,0
Your loan has been pre-approved. Apply now to receive instant cash.,1
URGENT: Your PayPal account has been suspended. Verify your identity now.,1
Can you review the attached document and provide feedback?,0
Reminder: Your subscription expires soon. Renew to continue enjoying our services.,0
Let's catch up this weekend! It's been a while.,0
"Hey John, are we still on for the meeting tomorrow? Let me know.",0
Work from home and make thousands of dollars per week! Join now.,1
Congratulations! You've won a free iPhone. Click here to claim now.,1
Can you review the attached document and provide feedback?,0
Get rich quick! Sign up for our exclusive program today.,1
"Hey John, are we still on for the meeting tomorrow? Let me know.",0
The project deadline has been moved up. Let's discuss the next steps.,0
Your package has been shipped and will arrive soon. Track it here.,0
The project deadline has been moved up. Let's discuss the next steps.,0
"Hi Mom, just checking in. Hope you're doing well!",0
